Date,Market,Category,Commodity,Quantity,Unit,Currency,Price, Usdprice ,Revenue,Prcentage,Comulativee,Class,,,,,
9/15/2024,Awserd,pulses and nuts,Almonds,364,KG,DZD,3000,$22.73 ,1092000,0%,0%,A,,,,,
9/15/2024,Laayoun,pulses and nuts,Almonds,364,KG,DZD,2800,$21.22 ,1019200,0%,0%,A,,,,,
8/15/2024,Tindouf,"meat, fish and eggs",Meat (lamb),364,KG,DZD,2500,$18.58 ,910000,0%,0%,A,,,,,
9/15/2024,Boujdour,pulses and nuts,Almonds,364,KG,DZD,2500,$18.94 ,910000,0%,0%,A,,,,,
3/15/2024,Smara,pulses and nuts,Almonds,285,KG,DZD,2950,$22.00 ,840750,0%,0%,A,,,0,A, 
8/15/2024,Tindouf,pulses and nuts,Almonds,364,KG,DZD,2300,$17.10 ,837200,0%,0%,A,,,0.75,B,
5/15/2015,Algiers,miscellaneous food,Tea,1207,KG,DZD,665,$6.79 ,802655,0%,0%,A,,,0.95,C,
9/15/2022,Dakhla,"meat, fish and eggs",Meat (lamb),322,KG,DZD,2400,$17.17 ,772800,0%,0%,A,,,,,
4/15/2015,Dakhla,"meat, fish and eggs",Meat (camel),1251,KG,DZD,600,$6.09 ,750600,0%,0%,A,,,,,
11/15/2015,Dakhla,"meat, fish and eggs",Meat (camel),1206,KG,DZD,600,$5.58 ,723600,0%,0%,A,,,,,
11/15/2015,Smara,"meat, fish and eggs",Meat (camel),1206,KG,DZD,600,$5.58 ,723600,0%,1%,A,,,,,
11/15/2015,Tindouf,"meat, fish and eggs",Meat (camel),1206,KG,DZD,600,$5.58 ,723600,0%,1%,A,,,,,
1/15/2025,Laayoun,pulses and nuts,Almonds,284,KG,DZD,2500,$18.48 ,710000,0%,1%,A,,,,,
1/15/2016,Algiers,miscellaneous food,Tea,1206,KG,DZD,560,$5.22 ,675360,0%,1%,A,,,,,
5/15/2015,Smara,"meat, fish and eggs",Meat (camel),1207,KG,DZD,550,$5.62 ,663850,0%,1%,A,,,,,
3/15/2024,Smara,"meat, fish and eggs",Meat (lamb),285,KG,DZD,2300,$17.15 ,655500,0%,1%,A,,,,,
9/15/2024,Tindouf,pulses and nuts,Almonds,285,KG,DZD,2300,$17.43 ,655500,0%,1%,A,,,,,
12/15/2015,Algiers,miscellaneous food,Tea,1206,KG,DZD,520,$4.88 ,627120,0%,1%,A,,,,,
11/15/2015,Algiers,miscellaneous food,Tea,1206,KG,DZD,509,$4.73 ,613854,0%,1%,A,,,,,
4/15/2022,Smara,"meat, fish and eggs",Meat (lamb),357,KG,DZD,1700,$11.88 ,606900,0%,1%,A,,,,,
7/15/2022,Smara,pulses and nuts,Peanut,321,KG,DZD,1750,$11.92 ,561750,0%,1%,A,,,,,
6/15/2022,Tindouf,"meat, fish and eggs",Meat (lamb),342,KG,DZD,1600,$10.98 ,547200,0%,1%,A,,,,,
11/15/2015,Tindouf,"meat, fish and eggs",Meat (chicken),1206,KG,DZD,450,$4.18 ,542700,0%,1%,A,,,,,
5/15/2022,Dakhla,oil and fats,Oil,342,5 L,DZD,1500,$10.29 ,513000,0%,1%,A,,,,,
4/15/2015,Algiers,miscellaneous food,Tea,1251,KG,DZD,400,$4.06 ,500400,0%,1%,A,,,,,
4/15/2015,Dakhla,"meat, fish and eggs",Meat (chicken),1251,KG,DZD,400,$4.06 ,500400,0%,2%,A,,,,,
12/15/2022,Awserd,"meat, fish and eggs",Meat (lamb),322,KG,DZD,1500,$10.94 ,483000,0%,2%,A,,,,,
1/15/2016,Algiers,"meat, fish and eggs",Meat (chicken),1206,KG,DZD,400,$3.73 ,482400,0%,2%,A,,,,,
11/15/2015,Smara,"meat, fish and eggs",Meat (chicken),1206,KG,DZD,380,$3.53 ,458280,0%,2%,A,,,,,
3/15/2024,Laayoun,pulses and nuts,Almonds,166,KG,DZD,2750,$20.50 ,456500,0%,2%,A,,,,,
